[2.0, 3.0, 4.0, 0.8, 2.0, 1.0, 3.0, 0.0, 0.5]	[1.0, 533.4833719216056]
[2.0, 3.0, 4.0, 0.5, 2.0, 1.0, 3.0, 0.0, 0.5]	[2.0, 14.83436479808421]
[3.0, 4.0, 4.0, 0.5, 2.0, 1.0, 3.0, 0.0, 0.5]	[3.0, 16.217350395573003]
[0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 4.0, 0.0, 0.5]	[4.0, 16.217115785944003]
[3.0, 4.0, 4.0, 0.5, 4.0, 3.0, 2.0, 0.0, 0.5]	[7.0, 16.217122964868686]
[3.0, 4.0, 3.0, 0.5, 4.0, 3.0, 2.0, 0.0, 0.5]	[8.0, 15.555133274932881]
[3.0, 4.0, 3.0, 0.5, 3.0, 1.0, 1.0, 0.0, 0.5]	[9.0, 15.555423811888264]
[4.0, 2.0, 2.0, 0.5, 3.0, 1.0, 1.0, 0.0, 0.5]	[10.0, 14.314498042847111]
[4.0, 2.0, 2.0, 0.5, 4.0, 1.0, 2.0, 0.0, 0.5]	[11.0, 14.314291169957276]
[4.0, 2.0, 2.0, 0.5, 3.0, 1.0, 3.0, 0.0, 0.5]	[12.0, 14.314226332899121]
[4.0, 2.0, 2.0, 0.5, 2.0, 2.0, 2.0, 0.0, 0.5]	[13.0, 14.314292208392251]
[2.0, 2.0, 2.0, 0.5, 2.0, 2.0, 2.0, 0.0, 0.5]	[23.0, 13.742053370815134]
[2.0, 2.0, 2.0, 0.5, 1.0, 1.0, 3.0, 0.0, 0.5]	[24.0, 13.742120523390108]
[4.0, 2.0, 1.0, 0.5, 1.0, 1.0, 3.0, 0.0, 0.5]	[27.0, 13.691354824474644]
[4.0, 2.0, 1.0, 0.5, 4.0, 4.0, 1.0, 0.0, 0.5]	[34.0, 13.69144355675089]
[1.0, 1.0, 2.0, 0.5, 4.0, 4.0, 1.0, 0.0, 0.5]	[35.0, 13.157379304410469]
[1.0, 1.0, 2.0, 0.5, 4.0, 2.0, 3.0, 0.0, 0.5]	[36.0, 13.158150745348847]
[1.0, 1.0, 2.0, 0.5, 2.0, 4.0, 1.0, 0.0, 0.5]	[43.0, 13.157960676965466]
[1.0, 1.0, 2.0, 0.5, 1.0, 4.0, 2.0, 0.0, 0.5]	[44.0, 13.158321314582352]
[1.0, 1.0, 2.0, 0.5, 3.0, 1.0, 2.0, 0.0, 0.5]	[49.0, 13.15849176741721]
[1.0, 1.0, 2.0, 0.5, 1.0, 3.0, 3.0, 0.0, 0.5]	[51.0, 13.15841216589353]
[1.0, 1.0, 2.0, 0.5, 2.0, 1.0, 1.0, 0.0, 0.5]	[60.0, 13.158700323961815]
[1.0, 1.0, 2.0, 0.5, 4.0, 4.0, 3.0, 0.0, 0.5]	[61.0, 13.157836004927548]
[1.0, 1.0, 2.0, 0.5, 4.0, 2.0, 4.0, 0.0, 0.5]	[66.0, 13.158108339103661]
[1.0, 1.0, 2.0, 0.5, 2.0, 1.0, 3.0, 0.0, 0.5]	[69.0, 13.158595911578896]
[1.0, 1.0, 2.0, 0.5, 3.0, 4.0, 1.0, 0.0, 0.5]	[73.0, 13.157654144262384]
[1.0, 1.0, 2.0, 0.5, 3.0, 1.0, 1.0, 0.0, 0.5]	[77.0, 13.158485743634948]
[1.0, 1.0, 2.0, 0.5, 3.0, 2.0, 4.0, 0.0, 0.5]	[78.0, 13.15825487256332]
[1.0, 1.0, 2.0, 0.5, 3.0, 1.0, 1.0, 0.0, 0.5]	[79.0, 13.158485743634948]
[1.0, 1.0, 2.0, 0.5, 4.0, 2.0, 1.0, 0.0, 0.5]	[84.0, 13.157960676965466]
[1.0, 1.0, 2.0, 0.5, 1.0, 4.0, 1.0, 0.0, 0.5]	[85.0, 13.158296626266308]
[1.0, 1.0, 2.0, 0.4, 1.0, 4.0, 1.0, 0.0, 0.5]	[87.0, 9.860023764163651]
[1.0, 1.0, 2.0, 0.4, 2.0, 3.0, 1.0, 0.0, 0.5]	[90.0, 9.859994474204438]
[1.0, 1.0, 2.0, 0.4, 4.0, 4.0, 2.0, 0.0, 0.5]	[94.0, 9.85986073921849]
[1.0, 1.0, 2.0, 0.4, 4.0, 4.0, 2.0, 0.0, 0.2]	[95.0, 9.582509934581568]
[3.0, 4.0, 2.0, 0.4, 4.0, 4.0, 2.0, 0.0, 0.2]	[99.0, 2.7488316592307642]
[2.0, 4.0, 3.0, 0.4, 4.0, 4.0, 2.0, 0.0, 0.2]	[351.0, 2.7488316592307647]
[3.0, 4.0, 2.0, 0.4, 4.0, 4.0, 2.0, 0.0, 0.2]	[381.0, 2.7488316592307642]
[3.0, 4.0, 2.0, 0.4, 3.0, 4.0, 3.0, 0.0, 0.2]	[461.0, 2.732187161173946]
[2.0, 3.0, 4.0, 0.4, 3.0, 4.0, 3.0, 0.0, 0.2]	[469.0, 2.7315804486679047]
