[0.0, 0.0, 0.0, 0.0, 4.0, 1.0, 3.0, 0.0, 0.0]	[1.0, 3.0927731272204353]
[3.0, 4.0, 3.0, 0.3, 1.0, 3.0, 1.0, 0.0, 0.0]	[2.0, 3.4439093401756145]
[3.0, 4.0, 3.0, 0.3, 1.0, 1.0, 3.0, 0.0, 0.0]	[3.0, 3.441439062248117]
[3.0, 4.0, 3.0, 0.3, 4.0, 4.0, 1.0, 0.0, 0.0]	[7.0, 3.023824226294365]
[3.0, 4.0, 3.0, 0.2, 4.0, 4.0, 1.0, 0.0, 0.0]	[8.0, 2.9174318170498825]
[3.0, 4.0, 3.0, 0.2, 4.0, 2.0, 3.0, 0.0, 0.0]	[9.0, 2.947744943788197]
[3.0, 2.0, 1.0, 0.2, 4.0, 2.0, 3.0, 0.0, 0.0]	[10.0, 2.9745462170482955]
[3.0, 2.0, 1.0, 0.2, 2.0, 4.0, 3.0, 0.0, 0.0]	[12.0, 2.96975335144327]
[1.0, 4.0, 3.0, 0.2, 2.0, 4.0, 3.0, 0.0, 0.0]	[13.0, 2.968109704328711]
[1.0, 4.0, 3.0, 0.6, 2.0, 4.0, 3.0, 0.0, 0.0]	[19.0, 3.0640469887472825]
[1.0, 4.0, 3.0, 0.1, 2.0, 4.0, 3.0, 0.0, 0.0]	[21.0, 2.493524204306003]
[1.0, 4.0, 3.0, 0.1, 3.0, 2.0, 3.0, 0.0, 0.0]	[24.0, 2.478249399071556]
[1.0, 4.0, 3.0, 0.0, 3.0, 2.0, 3.0, 0.0, 0.0]	[25.0, 1.9386672515681767]
[1.0, 4.0, 3.0, 0.0, 4.0, 3.0, 2.0, 0.0, 0.0]	[26.0, 1.6591031955616753]
[3.0, 2.0, 2.0, 0.0, 4.0, 3.0, 2.0, 0.0, 0.0]	[28.0, 1.7057131485069044]
[2.0, 2.0, 3.0, 0.0, 4.0, 3.0, 2.0, 0.0, 0.0]	[30.0, 1.7223113045397773]
[2.0, 2.0, 3.0, 0.0, 2.0, 4.0, 4.0, 0.0, 0.0]	[36.0, 1.4643099773772406]
[1.0, 1.0, 3.0, 0.0, 2.0, 4.0, 4.0, 0.0, 0.0]	[40.0, 0.9806354203203198]
[1.0, 1.0, 3.0, 0.0, 4.0, 3.0, 3.0, 0.0, 0.0]	[53.0, 0.9755432308547303]
[1.0, 1.0, 3.0, 0.0, 2.0, 4.0, 4.0, 0.0, 0.0]	[61.0, 0.9806354203203198]
[1.0, 2.0, 1.0, 0.0, 2.0, 4.0, 4.0, 0.0, 0.0]	[111.0, 0.9103607613287302]
[1.0, 2.0, 1.0, 0.0, 3.0, 4.0, 4.0, 0.0, 0.0]	[118.0, 0.8568089289676852]
[1.0, 1.0, 1.0, 0.0, 3.0, 4.0, 4.0, 0.0, 0.0]	[133.0, 0.8350293774476951]
[1.0, 1.0, 1.0, 0.0, 3.0, 3.0, 4.0, 0.0, 0.0]	[209.0, 0.8297330675889213]
